product_id,product_name,brand,product_form,ingredient_position,raw_ingredient,normalized_ingredient
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,16,SORBITAN SESQUIOLEATE,sorbitan sesquioleate
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,17,SQUALANE,squalane
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,18,GLYCERYL CAPRYLATE,glyceryl caprylate
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,19,DIMETHICONE/PEG-10/15 CROSSPOLYMER,dimethicone/peg-10/15 crosspolymer
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,20,TOCOPHEROL,tocopherol
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,21,STEARALKONIUM HECTORITE,stearalkonium hectorite
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,22,CERAMIDE NP,ceramide np
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,23,PSEUDOALTEROMONAS FERMENT EXTRACT,pseudoalteromonas ferment extract
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,24,PROPYLENE CARBONATE,propylene carbonate
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,25,ADENOSINE,adenosine
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,26,SODIUM CITRATE,sodium citrate
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,27,SALICYLIC ACID,salicylic acid
P00004,kiehl’s ultra facial barrier balm,kiehl’s,balm,28,SODIUM HYDROXIDE,sodium hydroxide
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,1,Water,water
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,2,Glycerin,glycerin
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,3,Dimethicone,dimethicone
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,4,Cetearyl Olivate,cetearyl olivate
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,5,Sorbitan Olivate,sorbitan olivate
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,6,Sodium Hyaluronate,sodium hyaluronate
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,7,Serine,serine
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,8,Glycine,glycine
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,9,Alanine,alanine
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,10,Threonine,threonine
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,11,Arginine,arginine
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,12,Proline,proline
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,13,Lysine Hci,lysine hci
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,14,Glutamic Acid,glutamic acid
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,15,Sodium Pca,sodium pca
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,16,Pca,pca
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,17,Sodium Lactate,sodium lactate
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,18,Urea,urea
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,19,Sodium Chloride,sodium chloride
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,20,Citric Acid,citric acid
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,21,Betaine,betaine
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,22,Allantoin,allantoin
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,23,Fructose,fructose
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,24,Maltose,maltose
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,25,Trehalose,trehalose
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,26,Glucose,glucose
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,27,Pentylene Glycol,pentylene glycol
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,28,Synthetic Beeswax,synthetic beeswax
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,29,Polyacrylate Crosspolymer-6,polyacrylate crosspolymer-6
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,30,Dimethicone Crosspolymer,dimethicone crosspolymer
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,31,Dimethiconol,dimethiconol
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,32,Ethylhexylglycerin,ethylhexylglycerin
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,33,Caprylyl Glycol,caprylyl glycol
P00005,neutrogena hydro boost gel cream fragrance free,neutrogena,gel_cream,34,Sodium Hydroxide,sodium hydroxide
P00006,la mer moisturizing cream,la mer,cream,1,Algae Extract,algae extract
P00006,la mer moisturizing cream,la mer,cream,2,Mineral Oil\Paraffinum Liquidum\Huile Minerale,mineral oil
P00006,la mer moisturizing cream,la mer,cream,3,Petrolatum,petrolatum
P00006,la mer moisturizing cream,la mer,cream,4,Glycerin,glycerin
P00006,la mer moisturizing cream,la mer,cream,5,Isohexadecane,isohexadecane
P00006,la mer moisturizing cream,la mer,cream,6,Microcrystalline Wax\Cera Microcristallina\Cire Microcristalline,microcrystalline wax
P00006,la mer moisturizing cream,la mer,cream,7,Lanolin Alcohol,lanolin alcohol
P00006,la mer moisturizing cream,la mer,cream,8,Citrus Aurantifolia (Lime) Peel Extract,citrus aurantifolia (lime) peel extract
P00006,la mer moisturizing cream,la mer,cream,9,Sesamum Indicum (Sesame) Seed Oil,sesamum indicum (sesame) seed oil
P00006,la mer moisturizing cream,la mer,cream,10,Eucalyptus Globulus (Eucalyptus) Leaf Oil,eucalyptus globulus leaf oil
P00006,la mer moisturizing cream,la mer,cream,11,Sesamum Indicum (Sesame) Seed Powder,sesamum indicum (sesame) seed powder
P00006,la mer moisturizing cream,la mer,cream,12,Medicago Sativa (Alfalfa) Seed Powder,medicago sativa (alfalfa) seed powder
P00006,la mer moisturizing cream,la mer,cream,13,Helianthus Annuus (Sunflower) Seedcake,helianthus annuus (sunflower) seedcake
P00006,la mer moisturizing cream,la mer,cream,14,Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal,prunus amygdalus dulcis (sweet almond) seed meal
P00006,la mer moisturizing cream,la mer,cream,15,Sodium Gluconate,sodium gluconate
P00006,la mer moisturizing cream,la mer,cream,16,Copper Gluconate,copper gluconate
P00006,la mer moisturizing cream,la mer,cream,17,Calcium Gluconate,calcium gluconate
P00006,la mer moisturizing cream,la mer,cream,18,Magnesium Gluconate,magnesium gluconate
P00006,la mer moisturizing cream,la mer,cream,19,Zinc Gluconate,zinc gluconate
P00006,la mer moisturizing cream,la mer,cream,20,Magnesium Sulfate,magnesium sulfate
P00006,la mer moisturizing cream,la mer,cream,21,Paraffin,paraffin
P00006,la mer moisturizing cream,la mer,cream,22,Tocopheryl Succinate,tocopheryl succinate
P00006,la mer moisturizing cream,la mer,cream,23,Niacin,niacin
P00006,la mer moisturizing cream,la mer,cream,24,Water\Aqua\Eau,water
P00006,la mer moisturizing cream,la mer,cream,25,Beta-Carotene,beta-carotene
P00006,la mer moisturizing cream,la mer,cream,26,Decyl Oleate,decyl oleate
P00006,la mer moisturizing cream,la mer,cream,27,Aluminum Distearate,aluminum distearate
P00006,la mer moisturizing cream,la mer,cream,28,Octyldodecanol,octyldodecanol
P00006,la mer moisturizing cream,la mer,cream,29,Citric Acid,citric acid
P00006,la mer moisturizing cream,la mer,cream,30,Cyanocobalamin,cyanocobalamin
P00006,la mer moisturizing cream,la mer,cream,31,Magnesium Stearate,magnesium stearate
P00006,la mer moisturizing cream,la mer,cream,32,Panthenol,panthenol
P00006,la mer moisturizing cream,la mer,cream,33,Zea Mays (Corn) Oil,zea mays (corn) oil
P00006,la mer moisturizing cream,la mer,cream,34,Limonene,limonene
P00006,la mer moisturizing cream,la mer,cream,35,Geraniol,geraniol
P00006,la mer moisturizing cream,la mer,cream,36,Linalool,linalool
P00006,la mer moisturizing cream,la mer,cream,37,Hydroxycitronellal,hydroxycitronellal
P00006,la mer moisturizing cream,la mer,cream,38,Citronellol,citronellol
P00006,la mer moisturizing cream,la mer,cream,39,Benzyl Salicylate,benzyl salicylate
P00006,la mer moisturizing cream,la mer,cream,40,Benzyl Benzoate,benzyl benzoate
P00006,la mer moisturizing cream,la mer,cream,41,Sodium Benzoate,sodium benzoate
P00006,la mer moisturizing cream,la mer,cream,42,Alcohol Denat,alcohol denat
P00006,la mer moisturizing cream,la mer,cream,43,Fragrance (Parfum),fragrance
P00007,toleriane double repair face moisturizer,la roche-posay,cream,1,AQUA / WATER / EAU,water
P00007,toleriane double repair face moisturizer,la roche-posay,cream,2,GLYCERIN,glycerin
P00007,toleriane double repair face moisturizer,la roche-posay,cream,3,SQUALANE,squalane
P00007,toleriane double repair face moisturizer,la roche-posay,cream,4,DIMETHICONE,dimethicone
P00007,toleriane double repair face moisturizer,la roche-posay,cream,5,ZEA MAYS STARCH / CORN STARCH,zea mays starch
P00007,toleriane double repair face moisturizer,la roche-posay,cream,6,NIACINAMIDE,niacinamide
P00007,toleriane double repair face moisturizer,la roche-posay,cream,7,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,ammonium polyacryloyldimethyl taurate
P00007,toleriane double repair face moisturizer,la roche-posay,cream,8,MYRISTYL MYRISTATE,myristyl myristate
P00007,toleriane double repair face moisturizer,la roche-posay,cream,9,STEARIC ACID,stearic acid
P00007,toleriane double repair face moisturizer,la roche-posay,cream,10,CERAMIDE NP,ceramide np
P00007,toleriane double repair face moisturizer,la roche-posay,cream,11,POTASSIUM CETYL PHOSPHATE,potassium cetyl phosphate
P00007,toleriane double repair face moisturizer,la roche-posay,cream,12,GLYCERYL STEARATE SE,glyceryl stearate se
P00007,toleriane double repair face moisturizer,la roche-posay,cream,13,SODIUM HYDROXIDE,sodium hydroxide
P00007,toleriane double repair face moisturizer,la roche-posay,cream,14,MYRISTIC ACID,myristic acid
P00007,toleriane double repair face moisturizer,la roche-posay,cream,15,PALMITIC ACID,palmitic acid
P00007,toleriane double repair face moisturizer,la roche-posay,cream,16,CAPRYLOYL GLYCINE,capryloyl glycine
P00007,toleriane double repair face moisturizer,la roche-posay,cream,17,CAPRYLYL GLYCOL,caprylyl glycol
P00007,toleriane double repair face moisturizer,la roche-posay,cream,18,XANTHAN GUM,xanthan gum
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,1,Aqua (Water),water
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,2,Caprylic/Capric Triglyceride,caprylic/capric triglyceride
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,3,Cetyl Alcohol,cetyl alcohol
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,4,Propanediol,propanediol
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,5,Stearyl Alcohol,stearyl alcohol
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,6,Glycerin,glycerin
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,7,Sodium Hyaluronate,sodium hyaluronate
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,8,Arginine,arginine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,9,Aspartic Acid,aspartic acid
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,10,Glycine,glycine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,11,Alanine,alanine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,12,Serine,serine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,13,Valine,valine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,14,Isoleucine,isoleucine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,15,Proline,proline
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,16,Threonine,threonine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,17,Histidine,histidine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,18,Phenylalanine,phenylalanine
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,19,Glucose,glucose
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,20,Maltose,maltose
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,21,Fructose,fructose
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,22,Trehalose,trehalose
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,23,Sodium PCA,sodium pca
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,24,PCA,pca
P00008,the ordinary natural moisturizing factors + ha,the ordinary,cream,25,Sodium Lactate,sodium lactate
