ingredient_id,canonical_name,observed_raw_variants,normalization_methods,normalizer_version
99,centella asiatica extract,Centella Asiatica Extract,case_whitespace,v5
100,centella asiatica leaf extract,CENTELLA ASIATICA LEAF EXTRACT,case_whitespace,v5
101,cera alba (beeswax),CERA ALBA (BEESWAX),case_whitespace,v5
102,ceramide ap,CERAMIDE AP | Ceramide AP | Ceramide Ap | ceramide AP,case_whitespace,v5
103,ceramide as,Ceramide AS | ceramide AS,case_whitespace,v5
104,ceramide eop,CERAMIDE EOP | Ceramide EOP | Ceramide Eop | ceramide EOP,case_whitespace,v5
105,ceramide eos,Ceramide Eos,case_whitespace,v5
106,ceramide ng,ceramide NG | ceramide ng,case_whitespace,v5
107,ceramide np,CERAMIDE NP | Ceramide NP | Ceramide Np | ceramide NP,case_whitespace,v5
108,ceramide ns,Ceramide NS | Ceramide Ns,case_whitespace,v5
109,ceteareth-20,CETEARETH-20,case_whitespace,v5
110,ceteareth-25,Ceteareth-25,case_whitespace,v5
111,cetearyl alcohol,CETEARYL ALCOHOL | Cetearyl Alcohol | Cetearylalcohol | cetearyl alcohol,alias | case_whitespace,v5
112,cetearyl glucoside,CETEARYL GLUCOSIDE | Cetearyl Glucoside,case_whitespace,v5
113,cetearyl olivate,CETEARYL OLIVATE | Cetearyl Olivate,case_whitespace,v5
114,cetyl alcohol,CETYL ALCOHOL | Cetyl Alcohol | cetyl alcohol,case_whitespace,v5
115,cetyl dimethicone,Cetyl Dimethicone,case_whitespace,v5
116,cetyl esters,CETYL ESTERS,case_whitespace,v5
117,cetyl ethylhexanoate,Cetyl Ethylhexanoate,case_whitespace,v5
118,cetyl lactate,Cetyl Lactate,case_whitespace,v5
119,cetyl palmitate,Cetyl Palmitate,case_whitespace,v5
120,cetyl peg/ppg-10/1 dimethicone,CETYL PEG/PPG-10/1 DIMETHICONE,case_whitespace,v5
121,cetyl-pg hydroxyethyl palmitamide,cetyl-pg hydroxyethyl palmitamide,case_whitespace,v5
122,chamomilla recutita flower extract,CHAMOMILLA RECUTITA FLOWER EXTRACT/MATRICARIA FLOWER EXTRACT,alias,v5
123,chlorphenesin,CHLORPHENESIN | Chlorphenesin,case_whitespace,v5
124,cholesterol,CHOLESTEROL | Cholesterol | cholesterol,case_whitespace,v5
125,cholesteryl isostearate,cholesteryl isostearate,case_whitespace,v5
126,chondrus crispus extract,Chondrus Crispus Extract,case_whitespace,v5
127,chrysanthemum parthenium (feverfew) extract,Chrysanthemum Parthenium (Feverfew) Extract,case_whitespace,v5
128,chrysanthemum parthenium (feverfew) flower/leaf/stem juice,Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice,case_whitespace,v5
129,citral,CITRAL | Citral,case_whitespace,v5
130,citric acid,CITRIC ACID | Citric Acid | citric acid,case_whitespace,v5
131,citronellol,Citronellol,case_whitespace,v5
132,citrullus lanatus (watermelon) seed oil,Citrullus Lanatus (Watermelon) Seed Oil,case_whitespace,v5
133,citrus aurantifolia (lime) oil,Citrus Aurantifolia (Lime) Oil,case_whitespace,v5
134,citrus aurantifolia (lime) peel extract,Citrus Aurantifolia (Lime) Peel Extract,case_whitespace,v5
135,citrus aurantium bergamia peel oil,Citrus Aurantium Bergamia Peel Oil,case_whitespace,v5
136,citrus aurantium dulcis (orange) peel oil,Citrus Aurantium Dulcis (Orange) Peel Oil,case_whitespace,v5
137,citrus limon peel oil,Citrus Limon Peel Oil,case_whitespace,v5
138,citrus unshiu peel extract,CITRUS UNSHIU PEEL EXTRACT,case_whitespace,v5
139,cladosiphon okamuranus extract,Cladosiphon Okamuranus Extract,case_whitespace,v5
140,coco-caprylate/caprate,Coco-Caprylate/Caprate | coco-caprylate/caprate,case_whitespace,v5
141,cocoglycerides,Cocoglycerides,case_whitespace,v5
142,coconut alkanes,Coconut Alkanes | coconut alkanes,case_whitespace,v5
143,cocos nucifera (coconut) fruit water,Cocos Nucifera (Coconut) Fruit Water,case_whitespace,v5
144,cocos nucifera (coconut) oil,Cocos Nucifera (Coconut) Oil,case_whitespace,v5
145,colloidal oatmeal,COLLOIDAL OATMEAL | Colloidal Oatmeal,case_whitespace,v5
146,copper gluconate,COPPER GLUCONATE | Copper Gluconate,case_whitespace,v5
147,copper palmitoyl heptapeptide-14,Copper Palmitoyl Heptapeptide-14,case_whitespace,v5
148,copper pca,COPPER PCA,case_whitespace,v5
149,corn starch modified,Corn Starch Modified,case_whitespace,v5
150,cucumis sativus (cucumber) fruit extract,Cucumis Sativus (Cucumber) Fruit Extract,case_whitespace,v5
151,cupressus sempervirens leaf/stem extract,Cupressus Sempervirens Leaf/Stem Extract,case_whitespace,v5
152,cyanocobalamin,Cyanocobalamin,case_whitespace,v5
153,cyclohexasiloxane,Cyclohexasiloxane,case_whitespace,v5
154,cyclopentasiloxane,Cyclopentasiloxane,case_whitespace,v5
155,decyl oleate,Decyl Oleate,case_whitespace,v5
156,dehydroacetic acid,dehydroacetic acid,case_whitespace,v5
157,dicaprylyl carbonate,DICAPRYLYL CARBONATE | Dicaprylyl Carbonate,case_whitespace,v5
158,dicaprylyl ether,DICAPRYLYL ETHER,case_whitespace,v5
159,diglycerin,DIGLYCERIN,case_whitespace,v5
160,diisostearyl malate,Diisostearyl Malate,case_whitespace,v5
161,dilinoleic acid/butanediol copolymer,dilinoleic acid/butanediol copolymer,case_whitespace,v5
162,dilinoleic acid/propanediol copolymer,Dilinoleic Acid/Propanediol Copolymer,case_whitespace,v5
163,dimethicone,DIMETHICONE | Dimethicone | dimethicone,case_whitespace,v5
164,dimethicone crosspolymer,Dimethicone Crosspolymer,case_whitespace,v5
165,dimethicone/peg-10/15 crosspolymer,DIMETHICONE/PEG-10/15 CROSSPOLYMER | Dimethicone/Peg-10/15 Crosspolymer,case_whitespace,v5
166,dimethicone/vinyl dimethicone crosspolymer,Dimethicone/Vinyl Dimethicone Crosspolymer | Dimethicone/vinyl Dimethicone Crosspolymer,case_whitespace,v5
167,dimethiconol,Dimethiconol,case_whitespace,v5
